family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p2_b0p7,mae,2.1796473492592243,2.193512571887906,0.013865222628681728,True
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.5939964655275602,2.611663030265917,0.017666564738356705,True
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p3_b0p8,mae,1.7461618438605266,1.7598703605664299,0.013708516705903229,True
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p3_b0p8,rmse,2.029062071447889,2.040522435724061,0.01146036427617192,True
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p3_b0p8,median_absolute_error,1.528432619557731,1.5322106397095485,0.003778020151817607,True
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p2_b0p7,mae,2.1755007758858436,2.1765764995626835,0.0010757236768399459,True
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p2_b0p7,rmse,2.599517480191698,2.60179938846048,0.0022819082687819403,True
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p3_b0p8,mae,1.7632689798782903,1.7638068417167105,0.000537861838420195,True
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p3_b0p8,rmse,2.045497726442619,2.0465306742256866,0.001032947783067506,True
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p2_b0p7,mae,2.3045336564327177,2.304708912600167,0.00017525616744951122,False
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.471398149836626,2.471690245081174,0.00029209524454820723,True
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p2_b0p7,max_absolute_error,4.0982326061039025,4.140294086291688,0.04206148018778588,True
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p3_b0p8,mae,2.0004996694659676,2.0005872975496923,8.762808372475561e-05,True
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p3_b0p8,rmse,2.095296104400201,2.0954353656391933,0.00013926123899210552,False
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p3_b0p8,max_absolute_error,3.319504139653784,3.3405348797476773,0.021030740093893385,True
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p2_b0p7,mae,2.3045336564327177,2.304708912600167,0.00017525616744951122,False
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.471398149836626,2.471690245081174,0.00029209524454820723,True
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p2_b0p7,max_absolute_error,4.0982326061039025,4.140294086291688,0.04206148018778588,True
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p3_b0p8,mae,2.0004996694659676,2.0005872975496923,8.762808372475561e-05,True
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p3_b0p8,rmse,2.095296104400201,2.0954353656391933,0.00013926123899210552,False
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p3_b0p8,max_absolute_error,3.319504139653784,3.3405348797476773,0.021030740093893385,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,mae,1.9763445596432072,2.004431413989693,0.028086854346485834,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.161776118234482,2.2006444243145573,0.03886830608007541,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,median_absolute_error,1.6698305173938834,1.676378682153945,0.006548164760061592,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,p95_absolute_error,3.8375435414567916,3.8909139883819033,0.053370446925111725,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p3_b0p8,mae,1.8119632557262002,1.8348374589669731,0.02287420324077294,True
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p3_b0p8,rmse,1.943606942960165,1.9656523491615865,0.02204540620142148,True
