attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
bias,0.2,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6483493922678467,1.7250042553069493,1.5747477737991984,2.4618410570930727,2.764730308629124,0.0,1.0
bias,0.2,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7759008466487083,1.873193338996528,1.7772255097679146,2.792376224018005,3.0055876729971414,0.0,1.0
bias,0.3,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.876314700422458,1.9932341360082158,1.8509487100156785,2.997888966326751,3.24426366114476,0.0,1.0
bias,0.3,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6854737794735424,1.786080839321765,1.6457072865956681,2.6649244326052375,3.0749460712492374,1.4168209876543212,0.5192842510784774
bias,0.3,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.8143159844746524,1.9520534343278195,1.6767612437560144,3.0951445058558047,3.4950521548323508,0.0,1.0
bias,0.3,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.9996396214391992,2.1661235599551274,1.8217408189179427,3.3561471697340397,3.561948753673471,0.0,1.0
bias,0.3,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7109251856709102,1.7922408025861671,1.6672088636994185,2.584908471969747,2.929207456820434,0.0,1.0
bias,0.3,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.9895067171464915,2.150363198264458,1.8330152027216529,3.32588274174723,3.53953189132131,0.0,1.0
bias,0.4,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,2.056766875498155,2.22610080685083,1.9448059104103903,3.447729061056819,3.69001920815455,0.0,1.0
bias,0.4,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.8849849198965651,2.0042193714257084,1.8536589624354638,3.0415879429919563,3.5731577943706934,0.9714506172839507,0.5339786867013309
bias,0.4,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,2.017076363105,2.198466970112207,1.8327193312804535,3.453980022449222,3.764378808628452,0.0,1.0
bias,0.4,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,2.099924521724099,2.3037344222105234,1.8220681041522193,3.60685942044629,3.812661004385722,0.0,1.0
bias,0.4,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7611455789377912,1.8496864774216273,1.7324214190733807,2.707916647894539,3.0733490672700974,0.0,1.0
bias,0.4,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,2.0967415644273477,2.2968879297950995,1.833492738023337,3.5948103445122794,3.808116185874137,0.0,1.0
drift,0.0,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5167091613174692,1.5749709733340298,1.4031908249644205,2.177884505999744,2.378718829485556,0.0,1.0
drift,0.0,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.606579391609211,1.6801997503496158,1.5368600265228805,2.3405933502544753,2.572021618562354,1.0239197530864197,0.5346690363491322
